地方コード,沿線コード,駅コード,沿線,新沿線,駅名,新駅名,Temp,Temp2,沿線CD,駅CD,沿線名,駅名,都道府県名,地方名
1,67,170,根室本線,根室線,幾寅,幾寅,,,4090,55220,ＪＲ根室本線,幾寅,北海道,北海道
1,67,180,根室本線,根室線,落合,落合,,,4090,55225,ＪＲ根室本線,落合,北海道,北海道
1,67,190,根室本線,根室線,新得,新得,1,23,4090,54690,ＪＲ根室本線,新得,北海道,北海道
1,67,200,根室本線,根室線,十勝清水,十勝清水,,,4090,55230,ＪＲ根室本線,十勝清水,北海道,北海道
1,67,220,根室本線,根室線,御影,御影,,,4090,55240,ＪＲ根室本線,御影,北海道,北海道
1,67,230,根室本線,根室線,芽室,芽室,,,4090,55245,ＪＲ根室本線,芽室,北海道,北海道
1,67,235,根室本線,根室線,大成,大成,,,4090,55250,ＪＲ根室本線,大成,北海道,北海道
1,67,240,根室本線,根室線,西帯広,西帯広,,,4090,55255,ＪＲ根室本線,西帯広,北海道,北海道
1,67,245,根室本線,根室線,柏林台,柏林台,,,4090,55260,ＪＲ根室本線,柏林台,北海道,北海道
1,67,250,根室本線,根室線,帯広,帯広,,,4090,55265,ＪＲ根室本線,帯広,北海道,北海道
1,67,260,根室本線,根室線,札内,札内,,,4090,55270,ＪＲ根室本線,札内,北海道,北海道
1,67,270,根室本線,根室線,幕別,幕別,,,4090,55280,ＪＲ根室本線,幕別,北海道,北海道
1,67,280,根室本線,根室線,利別,利別,,,4090,55285,ＪＲ根室本線,利別,北海道,北海道
1,67,290,根室本線,根室線,池田,池田,,,4090,55475,ＪＲ根室本線,池田,北海道,北海道
1,67,300,根室本線,根室線,十弗,十弗,,,4090,55290,ＪＲ根室本線,十弗,北海道,北海道
1,67,310,根室本線,根室線,豊頃,豊頃,,,4090,55295,ＪＲ根室本線,豊頃,北海道,北海道
1,67,320,根室本線,根室線,新吉野,新吉野,,,4090,55300,ＪＲ根室本線,新吉野,北海道,北海道
1,67,330,根室本線,根室線,浦幌,浦幌,,,4090,55305,ＪＲ根室本線,浦幌,北海道,北海道
1,67,350,根室本線,根室線,厚内,厚内,,,4090,55315,ＪＲ根室本線,厚内,北海道,北海道
1,67,380,根室本線,根室線,音別,音別,,,4090,55330,ＪＲ根室本線,音別,北海道,北海道
1,67,390,根室本線,根室線,白糠,白糠,,,4090,55340,ＪＲ根室本線,白糠,北海道,北海道
1,67,400,根室本線,根室線,西庶路,西庶路,,,4090,55345,ＪＲ根室本線,西庶路,北海道,北海道
1,67,410,根室本線,根室線,庶路,庶路,,,4090,55350,ＪＲ根室本線,庶路,北海道,北海道
1,67,420,根室本線,根室線,大楽毛,大楽毛,,,4090,55355,ＪＲ根室本線,大楽毛,北海道,北海道
1,67,425,根室本線,根室線,新大楽毛,新大楽毛,,,4090,55360,ＪＲ根室本線,新大楽毛,北海道,北海道
